prime one length (bin digits), 389
prime two length (bin digits), 661
modulus - n length (bin Digits), 1049
phi(n) length (bin digits), 1049
random seed used, 665
message length (bin digits), encryption time (seconds), decryption time (seconds)
96, 0.233182, 0.399209
33, 0.231102, 0.399613
37, 0.231555, 0.399898
43, 0.231844, 0.399272
141, 0.267453, 0.399467
28, 0.23033, 0.399429
79, 0.233033, 0.399253
148, 0.236336, 0.399562
105, 0.234091, 0.400174
143, 0.235278, 0.400757
17, 0.231873, 0.399951
168, 0.235392, 0.39937
109, 0.233948, 0.399449
39, 0.231736, 0.399574
174, 0.236645, 0.399219
38, 0.23084, 0.399712
56, 0.231987, 0.398672
88, 0.2334, 0.399073
101, 0.233743, 0.399126
11, 0.229291, 0.42548
50, 0.241302, 0.404083
191, 0.23557, 0.402152
138, 0.234939, 0.430821
95, 0.23318, 0.400432
26, 0.232451, 0.401798
56, 0.232382, 0.398642
142, 0.234418, 0.399351
40, 0.233529, 0.400284
138, 0.236361, 0.399596
9, 0.229525, 0.399976
162, 0.234866, 0.399419
166, 0.234909, 0.400533
5, 0.228544, 0.400339
85, 0.233426, 0.39957
96, 0.233195, 0.399236
174, 0.236337, 0.398926
136, 0.235048, 0.398525
115, 0.233869, 0.399458
66, 0.232766, 0.399064
168, 0.234965, 0.398897
54, 0.231867, 0.420616
196, 0.235165, 0.399652
193, 0.234833, 0.398589
88, 0.233446, 0.399124
18, 0.230076, 0.400546
176, 0.23518, 0.3992
128, 0.234742, 0.400492
64, 0.232464, 0.399038
9, 0.229112, 0.400034
49, 0.231601, 0.399146
54, 0.232313, 0.399847
132, 0.234914, 0.39964
37, 0.231437, 0.399504
191, 0.234838, 0.399029
47, 0.232198, 0.398952
117, 0.23437, 0.401721
196, 0.235659, 0.399666
154, 0.234849, 0.399516
67, 0.232604, 0.454889
40, 0.23106, 0.400171
47, 0.23153, 0.39904
91, 0.233435, 0.399003
38, 0.230954, 0.398995
28, 0.232583, 0.399062
11, 0.229515, 0.399893
12, 0.230674, 0.39894
71, 0.232458, 0.400329
143, 0.234624, 0.398706
75, 0.234113, 0.399124
27, 0.231447, 0.398889
33, 0.231006, 0.402319
17, 0.230427, 0.399386
36, 0.230978, 0.399431
99, 0.233913, 0.399527
29, 0.231346, 0.399167
47, 0.231784, 0.399463
72, 0.234075, 0.39946
11, 0.239848, 0.399584
30, 0.230986, 0.398962
9, 0.229694, 0.399759
75, 0.234293, 0.401246
77, 0.233239, 0.39919
43, 0.2319, 0.400215
117, 0.235178, 0.399358
153, 0.235685, 0.399514
32, 0.235026, 0.418783
72, 0.237121, 0.412115
34, 0.231427, 0.399953
78, 0.233591, 0.399684
39, 0.231198, 0.400112
38, 0.231273, 0.399892
149, 0.235136, 0.39961
84, 0.233151, 0.399035
168, 0.235621, 0.401867
198, 0.23517, 0.399391
152, 0.23502, 0.399799
145, 0.235089, 0.399284
157, 0.235395, 0.398919
66, 0.232797, 0.39952
126, 0.234736, 0.399348
23, 0.230705, 0.399361
94, 0.233011, 0.39947
149, 0.234996, 0.399368
88, 0.233333, 0.39957
74, 0.232835, 0.399312
125, 0.234693, 0.398948
157, 0.234329, 0.399657
116, 0.234063, 0.399274
29, 0.232334, 0.399953
33, 0.231123, 0.399707
112, 0.233932, 0.401705
24, 0.229905, 0.399139
46, 0.231453, 0.399531
139, 0.235571, 0.399252
100, 0.233728, 0.399439
131, 0.235071, 0.401131
85, 0.23325, 0.3995
68, 0.233047, 0.39937
142, 0.236188, 0.399589
29, 0.232833, 0.399268
192, 0.234905, 0.399362
46, 0.231514, 0.39867
180, 0.235088, 0.399706
33, 0.231957, 0.399469
98, 0.233664, 0.399314
86, 0.233209, 0.399144
99, 0.233521, 0.399219
18, 0.23086, 0.399005
120, 0.234512, 0.399583
16, 0.230097, 0.399409
138, 0.235263, 0.399897
84, 0.232732, 0.432227
155, 0.234743, 0.399368
123, 0.234268, 0.399143
132, 0.23555, 0.399279
190, 0.235236, 0.398915
49, 0.231891, 0.402115
65, 0.232621, 0.399875
66, 0.232384, 0.399104
151, 0.234616, 0.398686
131, 0.234728, 0.398608
80, 0.232939, 0.399121
191, 0.236418, 0.402158
182, 0.236486, 0.399514
192, 0.23477, 0.399213
156, 0.235071, 0.399488
170, 0.235344, 0.399286
160, 0.235588, 0.401039
1, 0.22733, 0.399169
98, 0.234893, 0.439293
199, 0.23535, 0.39929
69, 0.232718, 0.399445
107, 0.233921, 0.402144
55, 0.231687, 0.399065
71, 0.232752, 0.39993
140, 0.234813, 0.400025
120, 0.234222, 0.399485
143, 0.234795, 0.398924
180, 0.234768, 0.40172
123, 0.234159, 0.401646
134, 0.234819, 0.399592
134, 0.234735, 0.399489
21, 0.230725, 0.398977
127, 0.235126, 0.4002
103, 0.233502, 0.400424
42, 0.231115, 0.399313
88, 0.233552, 0.399406
82, 0.233058, 0.441165
15, 0.230427, 0.399388
127, 0.234532, 0.399054
19, 0.230804, 0.399549
160, 0.234785, 0.402459
169, 0.235072, 0.400106
74, 0.232714, 0.399
130, 0.234976, 0.399157
169, 0.235254, 0.399085
3, 0.228322, 0.399743
199, 0.235771, 0.399121
116, 0.234399, 0.399293
75, 0.233425, 0.399544
157, 0.235404, 0.399152
75, 0.232542, 0.399296
141, 0.234663, 0.399189
5, 0.229197, 0.398877
6, 0.228814, 0.399117
66, 0.232182, 0.427526
166, 0.235091, 0.399973
132, 0.235072, 0.400113
135, 0.235275, 0.399347
18, 0.229875, 0.399213
65, 0.233039, 0.399474
145, 0.234953, 0.399681
101, 0.23349, 0.399827
6, 0.228583, 0.399026
173, 0.234826, 0.398989
17, 0.230192, 0.39971
11, 0.22942, 0.399485
60, 0.232306, 0.399107
168, 0.235084, 0.400031
37, 0.231118, 0.399484
54, 0.232146, 0.39904
167, 0.235109, 0.399653
168, 0.234799, 0.398953
32, 0.231389, 0.399615
152, 0.26546, 0.399008
54, 0.232431, 0.400339
113, 0.233924, 0.400834
59, 0.232217, 0.399236
118, 0.233868, 0.399012
19, 0.230494, 0.399285
18, 0.231217, 0.39884
60, 0.232787, 0.399507
58, 0.232421, 0.399309
166, 0.235232, 0.399561
176, 0.234929, 0.399882
2, 0.227966, 0.399288
57, 0.232218, 0.399541
63, 0.23248, 0.399236
177, 0.235911, 0.4035
59, 0.232071, 0.399491
141, 0.234628, 0.399898
175, 0.234921, 0.398856
162, 0.235857, 0.399413
14, 0.229838, 0.399318
20, 0.230719, 0.398936
176, 0.23491, 0.399464
34, 0.230758, 0.401802
98, 0.23339, 0.400092
8, 0.229306, 0.399689
136, 0.234719, 0.399183
140, 0.234971, 0.399624
181, 0.234897, 0.400234
157, 0.235122, 0.399445
194, 0.235393, 0.400005
81, 0.232888, 0.399407
