prime one length (bin digits), 389
prime two length (bin digits), 661
modulus - n length (bin Digits), 1049
phi(n) length (bin digits), 1049
random seed used, 665
message length (bin digits), encryption time (seconds), decryption time (seconds)
138, 0.23615, 0.399258
134, 0.235673, 0.399443
138, 0.236738, 0.399388
120, 0.234205, 0.399435
149, 0.235629, 0.401652
60, 0.232279, 0.399516
102, 0.233766, 0.400848
15, 0.231224, 0.399195
4, 0.228616, 0.399273
174, 0.235923, 0.400937
195, 0.235543, 0.399956
192, 0.23543, 0.40096
41, 0.231999, 0.40143
144, 0.235904, 0.400555
132, 0.234876, 0.426676
59, 0.232603, 0.398914
147, 0.236119, 0.399923
135, 0.235858, 0.399141
90, 0.233618, 0.400592
85, 0.233372, 0.400043
162, 0.234813, 0.401292
48, 0.231868, 0.403069
168, 0.234785, 0.399044
182, 0.235351, 0.399058
77, 0.233715, 0.399734
63, 0.234036, 0.400077
54, 0.23338, 0.400433
67, 0.232548, 0.402809
4, 0.229074, 0.400445
161, 0.235272, 0.399849
86, 0.2331, 0.399679
134, 0.234817, 0.399304
126, 0.236628, 0.399498
58, 0.233517, 0.399402
146, 0.235303, 0.404385
97, 0.233982, 0.402233
92, 0.234131, 0.402264
168, 0.234991, 0.399235
172, 0.235035, 0.399553
71, 0.233196, 0.399126
164, 0.235994, 0.399563
46, 0.232228, 0.402133
44, 0.231703, 0.401027
163, 0.235236, 0.401582
95, 0.233333, 0.401184
179, 0.235246, 0.399815
61, 0.233259, 0.399775
174, 0.238396, 0.399519
43, 0.234064, 0.400548
192, 0.235546, 0.400475
184, 0.234966, 0.401863
93, 0.233088, 0.445048
170, 0.234983, 0.400286
61, 0.232667, 0.399622
96, 0.23408, 0.415882
153, 0.25219, 0.403568
177, 0.23829, 0.399326
13, 0.230977, 0.40209
77, 0.233826, 0.401748
142, 0.235345, 0.401642
138, 0.235457, 0.400567
93, 0.246753, 0.403176
58, 0.239505, 0.401844
196, 0.242348, 0.400843
18, 0.236534, 0.399765
193, 0.235431, 0.400168
150, 0.235139, 0.401139
97, 0.233811, 0.401574
3, 0.228257, 0.400917
175, 0.235901, 0.431478
190, 0.235029, 0.399437
53, 0.233587, 0.399859
76, 0.234628, 0.400144
25, 0.231336, 0.401374
97, 0.233908, 0.401236
60, 0.232482, 0.400769
164, 0.235013, 0.399563
72, 0.233149, 0.399649
107, 0.234682, 0.399211
72, 0.234185, 0.400321
187, 0.236472, 0.400214
60, 0.232234, 0.401376
155, 0.23529, 0.401463
92, 0.23413, 0.399922
121, 0.234407, 0.402632
197, 0.237949, 0.401399
37, 0.232405, 0.400195
122, 0.237553, 0.399501
37, 0.232413, 0.399606
85, 0.232865, 0.401273
48, 0.232183, 0.401171
126, 0.235123, 0.401077
127, 0.234736, 0.399007
123, 0.234729, 0.399461
73, 0.233786, 0.399745
33, 0.233935, 0.400211
166, 0.237143, 0.401607
1, 0.227276, 0.400937
174, 0.235072, 0.401348
183, 0.235038, 0.400423
131, 0.235006, 0.400421
191, 0.236086, 0.400503
148, 0.236196, 0.39993
105, 0.235672, 0.400803
20, 0.230443, 0.400434
71, 0.23292, 0.403112
75, 0.236366, 0.435284
44, 0.231938, 0.401282
26, 0.230384, 0.398783
31, 0.231185, 0.400397
20, 0.23367, 0.400385
63, 0.233756, 0.402478
123, 0.235392, 0.402565
130, 0.234928, 0.401987
185, 0.235511, 0.401652
1, 0.22863, 0.399779
25, 0.232384, 0.399475
62, 0.234198, 0.402322
173, 0.235805, 0.399612
97, 0.235019, 0.40188
97, 0.266816, 0.406001
199, 0.23684, 0.401352
184, 0.236625, 0.400312
5, 0.228625, 0.400343
77, 0.236379, 0.435595
51, 0.232235, 0.400872
77, 0.235636, 0.399926
76, 0.234412, 0.404242
139, 0.235902, 0.401557
132, 0.23498, 0.401614
195, 0.236242, 0.4037
3, 0.230497, 0.401879
43, 0.232947, 0.405612
18, 0.23825, 0.403638
87, 0.234816, 0.401627
123, 0.237747, 0.402041
61, 0.234086, 0.401491
62, 0.236274, 0.403946
48, 0.231896, 0.399599
25, 0.231212, 0.400023
144, 0.236256, 0.4
16, 0.232585, 0.399889
170, 0.235663, 0.400021
6, 0.229378, 0.408725
44, 0.233609, 0.410845
74, 0.236515, 0.401142
12, 0.230452, 0.40042
165, 0.237982, 0.400494
41, 0.232012, 0.399655
178, 0.237827, 0.399373
170, 0.235493, 0.399797
31, 0.231605, 0.401049
182, 0.235004, 0.399883
92, 0.233952, 0.400112
44, 0.231623, 0.400159
114, 0.233935, 0.400209
76, 0.233648, 0.399255
29, 0.23119, 0.400012
29, 0.231512, 0.401356
77, 0.233421, 0.399625
88, 0.23285, 0.400391
154, 0.235475, 0.444018
172, 0.235118, 0.399761
22, 0.230656, 0.399262
156, 0.235603, 0.401342
167, 0.236426, 0.401719
30, 0.230512, 0.401756
156, 0.235584, 0.400877
14, 0.229841, 0.404931
160, 0.235165, 0.401238
74, 0.233123, 0.403041
165, 0.234952, 0.400053
199, 0.236057, 0.400581
4, 0.228675, 0.400039
44, 0.232438, 0.404228
106, 0.234109, 0.39929
29, 0.230858, 0.400041
84, 0.2334, 0.399844
83, 0.233354, 0.400044
134, 0.236669, 0.400508
42, 0.231279, 0.399574
16, 0.232024, 0.400136
75, 0.234419, 0.399759
195, 0.234856, 0.400855
27, 0.230691, 0.399841
83, 0.23349, 0.399582
44, 0.233203, 0.403187
5, 0.228898, 0.401636
58, 0.233706, 0.399937
58, 0.232687, 0.399446
