message length (char), 200
random seed used, 665
prime one length (bin digits), prime two length (bin digits), modulus - n length (bin Digits, phi(n) length (bin digits), encryption time (seconds), decryption time (seconds)
606, 364, 969, 969,0.338849, 0.192163
371, 541, 911, 911,0.17053, 0.246282
468, 416, 883, 883,0.252889, 0.196516
434, 382, 815, 815,0.164457, 0.143453
469, 380, 848, 848,0.186731, 0.15342
569, 425, 993, 993,0.363494, 0.232596
338, 658, 995, 995,0.187942, 0.364078
402, 654, 1055, 1055,0.245168, 0.431043
388, 386, 773, 773,0.134251, 0.134051
660, 642, 1301, 1301,0.633835, 0.583203
606, 653, 1258, 1258,0.517258, 0.610342
540, 352, 891, 891,0.243957, 0.159806
343, 658, 1000, 1000,0.194627, 0.362041
337, 623, 959, 959,0.181265, 0.312812
462, 642, 1103, 1103,0.422205, 0.448134
425, 447, 871, 871,0.181165, 0.19008
401, 417, 817, 817,0.150053, 0.154076
430, 512, 941, 941,0.215849, 0.260974
506, 384, 889, 889,0.221866, 0.169149
334, 386, 719, 719,0.0998163, 0.112609
395, 569, 963, 963,0.205926, 0.292159
417, 480, 896, 896,0.184297, 0.210847
625, 577, 1201, 1201,0.484034, 0.445459
421, 565, 985, 985,0.228163, 0.302403
413, 337, 749, 749,0.131043, 0.107996
506, 665, 1170, 1170,0.376677, 0.496152
517, 419, 935, 935,0.248505, 0.203572
377, 396, 772, 772,0.127737, 0.13483
369, 478, 846, 846,0.147178, 0.19012
429, 533, 961, 961,0.22037, 0.269671
516, 633, 1148, 1148,0.368047, 0.449603
334, 467, 800, 800,0.120822, 0.164392
584, 422, 1005, 1005,0.322226, 0.23429
386, 413, 798, 798,0.137964, 0.147025
548, 417, 964, 964,0.279867, 0.213878
589, 623, 1211, 1211,0.466493, 0.491913
556, 612, 1167, 1167,0.407346, 0.44806
439, 514, 952, 952,0.220388, 0.256747
451, 449, 899, 899,0.201649, 0.19915
446, 403, 848, 848,0.17672, 0.161349
636, 548, 1183, 1183,0.477098, 0.410683
419, 449, 867, 867,0.175032, 0.186663
490, 495, 984, 984,0.262555, 0.264959
414, 506, 919, 919,0.195105, 0.237789
501, 436, 936, 936,0.242042, 0.211301
336, 484, 819, 819,0.127353, 0.180693
438, 603, 1040, 1040,0.257473, 0.352697
632, 387, 1018, 1018,0.356167, 0.218219
511, 454, 964, 964,0.263628, 0.235223
448, 605, 1052, 1052,0.269501, 0.36461
421, 619, 1039, 1039,0.246539, 0.360197
388, 607, 994, 994,0.212369, 0.327365
371, 340, 710, 710,0.1087, 0.0980946
653, 447, 1099, 1099,0.428989, 0.299148
381, 633, 1013, 1013,0.219329, 0.360519
396, 519, 914, 914,0.18465, 0.239429
446, 428, 873, 873,0.188799, 0.181058
577, 574, 1150, 1150,0.410999, 0.407422
494, 388, 881, 881,0.211961, 0.167323
658, 546, 1203, 1203,0.519029, 0.427173
454, 371, 824, 824,0.174154, 0.142936
613, 466, 1078, 1078,0.38984, 0.297184
364, 395, 758, 758,0.117805, 0.128349
613, 623, 1235, 1235,0.504198, 0.511191
421, 377, 797, 797,0.149667, 0.134524
572, 402, 973, 973,0.297918, 0.210334
488, 543, 1030, 1030,0.284845, 0.317556
537, 395, 931, 931,0.258298, 0.190681
447, 413, 859, 859,0.181772, 0.168193
342, 533, 874, 874,0.145749, 0.226989
569, 656, 1224, 1224,0.466738, 0.52896
506, 506, 1011, 1011,0.285058, 0.285271
397, 466, 862, 862,0.164695, 0.191137
592, 576, 1167, 1167,0.433431, 0.420801
383, 466, 848, 848,0.153276, 0.185835
599, 554, 1152, 1152,0.428808, 0.397583
491, 352, 842, 842,0.193656, 0.139879
340, 603, 942, 942,0.167436, 0.293957
604, 454, 1057, 1057,0.363488, 0.275206
458, 500, 957, 957,0.228266, 0.249281
462, 647, 1108, 1108,0.309513, 0.433746
599, 473, 1071, 1071,0.374839, 0.296744
409, 506, 914, 914,0.189207, 0.230539
456, 633, 1088, 1088,0.292762, 0.409866
434, 378, 811, 811,0.161757, 0.140408
647, 411, 1057, 1057,0.392309, 0.251212
337, 464, 800, 800,0.119563, 0.164134
496, 486, 981, 981,0.266122, 0.260026
337, 615, 951, 951,0.168339, 0.306622
482, 558, 1039, 1039,0.284024, 0.327053
409, 339, 747, 747,0.12967, 0.106757
